payment_history,credit_utilization,length_credit_history,credit_mix,new_credit_enquiries,income_stability_index,digital_transaction_ratio,savings_ratio,platform_loyalty_months,micro_loan_repayment,age,work_experience,monthly_income,debt_to_income_ratio,number_of_platforms,avg_weekly_hours,emergency_fund_months,bank_account_age_months,credit_card_count,missed_payments_last_year,education_level,financial_literacy_score,credit_score
0.68,0.51,3,0.0,3,0.46,0.46,0.36,42,0.01,50,9,8081.54,0.75,3,26.5,12.4,60,4,0,4,0.53,369
0.0,0.06,4,0.37,3,0.61,0.09,0.48,18,0.03,18,2,11195.71,0.26,7,75.4,15.0,100,6,4,4,0.35,354
0.0,0.64,16,0.0,7,0.55,0.54,0.17,27,0.02,27,6,14341.92,0.11,5,60.0,15.5,41,2,9,2,0.51,358
0.0,0.84,16,0.01,6,0.35,0.16,0.44,25,0.02,59,15,9198.22,0.27,4,47.9,16.1,88,3,2,1,0.61,348
0.66,0.53,3,0.0,5,0.86,0.73,0.41,37,0.01,21,5,14555.99,0.3,2,29.4,11.7,13,1,4,4,0.45,388
0.67,0.59,12,0.01,1,0.96,0.69,0.17,28,0.0,50,19,5010.8,0.88,2,25.4,21.9,41,9,0,1,0.6,397
0.0,0.29,15,0.01,4,0.3,0.32,0.31,22,0.0,50,10,12444.25,0.77,4,68.4,14.7,54,1,0,4,0.92,340
0.02,0.71,15,0.37,4,0.59,0.55,0.58,5,0.01,25,9,7432.19,0.91,2,39.6,9.8,89,4,2,3,0.61,391
0.03,0.51,18,0.71,6,0.42,0.71,0.49,31,0.01,41,9,2920.11,0.53,5,49.0,13.4,41,3,2,1,0.22,406
0.0,0.38,5,0.87,3,0.38,0.46,0.28,33,0.68,51,11,11462.08,0.37,2,73.0,22.7,65,3,6,1,0.6,359
0.01,0.79,15,0.01,3,0.75,0.12,0.27,5,0.77,41,8,7929.97,0.95,2,47.4,15.7,20,4,4,5,0.6,351
0.01,0.72,0,0.0,4,0.32,0.4,0.43,23,0.0,20,4,6798.92,1.01,7,48.6,17.0,94,3,0,4,0.79,350
0.0,0.21,14,0.37,2,0.39,0.45,0.28,5,0.02,41,5,13773.19,0.57,2,40.6,10.2,11,6,2,1,0.72,382
0.02,0.42,11,0.0,2,0.83,0.3,0.5,5,0.01,32,14,7601.38,0.48,2,62.9,2.6,22,3,10,1,0.89,369
0.03,0.74,7,0.49,1,0.41,0.76,0.28,7,0.01,62,9,13715.68,0.58,2,68.7,13.1,41,8,10,2,0.65,387
0.3,0.95,10,0.24,3,0.87,0.61,0.29,5,0.0,20,4,1426.15,0.24,1,33.1,20.9,78,3,0,1,0.88,371
0.0,0.27,16,0.01,4,0.5,0.22,0.29,5,0.01,41,2,10093.94,0.79,6,77.1,10.1,103,7,11,3,0.73,334
0.0,0.57,3,0.78,0,0.6,0.55,0.2,5,0.02,32,9,11165.16,0.89,6,25.5,12.2,39,6,6,5,0.9,328
0.0,0.4,0,0.21,3,0.84,0.82,0.12,3,0.85,53,9,7352.37,0.25,4,39.2,5.1,118,5,7,4,0.62,345
0.01,0.52,11,0.87,1,0.6,0.53,0.21,5,0.0,24,8,13644.37,0.79,1,48.1,13.7,36,8,2,2,0.52,369
0.98,0.91,16,0.01,1,0.29,0.21,0.39,5,0.0,41,15,7431.34,0.01,6,32.6,11.6,40,7,2,1,0.28,434
0.0,0.18,9,0.37,0,0.55,0.11,0.36,55,0.02,41,7,3262.02,0.21,6,27.2,12.3,52,6,3,3,0.6,369
0.49,0.42,0,0.0,3,0.48,0.55,0.35,23,0.0,30,14,2310.18,0.34,2,58.2,14.8,101,3,9,1,0.76,368
0.0,0.38,4,0.0,3,0.97,0.23,0.28,36,0.01,22,4,12425.81,0.73,1,48.2,7.2,80,8,2,5,0.72,358
0.41,0.21,4,0.01,4,0.3,0.7,0.41,18,0.0,42,9,8950.41,0.91,4,40.5,5.5,95,9,2,5,0.68,394
0.04,0.4,11,0.0,1,0.91,0.54,0.19,7,0.02,19,3,8616.08,0.27,4,48.2,6.0,39,3,6,1,0.74,415
0.44,0.65,2,0.0,6,0.54,0.43,0.37,40,0.01,30,14,11461.82,0.77,3,67.0,12.3,37,3,1,5,0.59,352
0.34,0.51,8,0.01,2,0.52,0.2,0.21,3,0.0,41,10,15000.0,0.21,7,23.0,12.2,23,6,9,3,0.66,354
0.02,0.43,5,0.25,2,0.96,0.45,0.31,39,0.0,22,6,5463.77,0.91,4,47.4,17.4,61,4,1,5,0.61,385
0.02,0.51,16,0.01,3,0.74,0.34,0.12,18,0.02,29,9,10899.56,0.49,2,62.6,12.5,60,7,3,5,0.8,380
0.03,0.92,16,0.53,6,0.68,0.16,0.04,2,0.01,23,7,3600.17,0.63,4,43.2,5.5,25,7,0,1,0.61,394
0.02,0.52,14,0.01,4,0.74,0.72,0.33,7,0.02,56,2,8127.79,0.47,4,42.2,13.8,100,9,1,1,0.9,381
0.01,0.52,4,0.37,1,0.59,0.71,0.48,16,0.0,57,1,8059.65,0.14,6,47.5,10.6,84,2,9,5,0.62,349
0.02,0.81,7,0.53,3,0.48,0.43,0.39,32,0.78,41,9,7832.27,0.62,1,22.2,4.0,83,3,1,3,0.35,374
0.41,0.31,7,0.0,5,0.23,0.37,0.11,30,0.92,50,0,9880.73,0.91,6,46.6,10.9,104,7,10,4,0.27,380
0.43,0.93,13,0.0,0,0.61,0.68,0.33,55,0.0,31,15,5431.07,0.53,7,55.7,12.1,74,3,1,1,0.35,391
0.02,0.12,4,0.0,2,0.5,0.52,0.5,45,0.0,41,9,7358.56,0.49,2,28.0,12.8,26,5,2,5,0.76,381
0.01,0.75,11,0.01,6,0.57,0.55,0.21,5,0.01,52,4,8326.4,0.67,5,47.8,6.1,118,4,7,1,0.28,360
0.02,0.51,4,0.01,2,0.61,0.65,0.49,33,0.0,63,9,9118.34,0.98,6,46.2,7.7,67,3,2,5,0.53,378
0.02,0.51,14,0.37,2,0.47,0.49,0.0,55,0.0,19,3,13688.71,0.3,2,17.6,23.9,61,1,1,1,0.62,401
0.01,0.61,14,0.34,2,0.63,0.62,0.22,52,0.94,56,11,3652.46,0.15,6,17.9,14.7,8,2,4,3,0.71,391
0.64,0.58,8,0.59,3,0.49,0.85,0.26,5,0.0,41,4,1983.08,0.69,2,48.1,10.4,42,9,7,3,0.31,369
0.55,0.61,0,0.37,6,0.58,0.89,0.34,38,0.02,41,10,13964.0,0.19,4,59.2,12.3,107,2,8,1,0.77,367
0.02,0.28,16,0.37,6,0.27,0.28,0.07,5,0.0,22,1,9655.18,0.6,2,62.3,22.5,12,4,2,5,0.61,392
0.0,0.15,10,0.37,3,0.88,0.48,0.23,29,0.0,42,15,6995.14,0.53,1,28.1,0.1,41,3,2,2,0.96,360
0.94,0.51,16,0.42,5,0.62,0.23,0.37,36,0.02,41,9,8115.75,0.39,5,26.9,12.3,37,7,5,3,1.0,407
0.01,0.35,10,0.0,3,0.6,0.26,0.32,25,0.02,41,1,1975.45,0.59,4,73.0,9.3,42,4,6,1,0.3,348
0.01,0.51,6,0.37,4,0.3,0.93,0.27,51,0.04,45,17,13004.4,0.6,5,64.4,20.3,85,9,11,4,0.54,345
0.01,0.65,6,0.74,3,0.66,0.48,0.37,26,0.52,26,4,7869.43,0.91,2,59.5,12.5,26,2,1,4,0.93,391
0.01,0.24,16,0.25,3,0.6,0.56,0.35,42,0.02,37,5,1582.88,0.52,2,56.5,2.8,41,3,2,1,0.89,379
0.85,0.61,19,0.4,5,0.74,0.91,0.29,57,0.0,42,17,14654.95,0.28,3,63.0,12.3,35,3,3,5,0.56,402
0.0,0.53,3,0.32,6,0.69,0.9,0.28,8,0.52,29,2,10124.54,0.59,2,27.6,2.6,88,1,8,3,0.38,316
0.35,0.6,14,0.01,7,0.52,0.88,0.38,42,0.01,44,9,13754.49,0.53,3,46.0,3.8,104,8,0,3,0.9,387
0.01,0.25,16,0.23,6,0.53,0.47,0.4,27,0.0,40,5,12229.36,0.95,2,29.8,20.8,7,5,5,4,0.54,375
0.37,0.54,11,0.47,4,0.46,0.85,0.28,30,0.02,43,9,7853.35,0.78,4,71.2,20.1,52,8,7,2,0.35,409
0.01,0.19,6,0.37,3,0.62,0.3,0.41,8,0.0,42,19,5629.66,0.43,1,31.5,20.8,81,3,4,1,0.51,366
0.01,0.83,8,0.01,6,0.24,0.55,0.06,5,0.01,59,4,7932.18,0.34,4,64.7,15.5,82,9,9,1,0.3,338
0.48,0.34,2,0.37,3,0.21,0.31,0.44,49,0.01,18,2,2422.67,0.87,4,63.5,19.6,71,3,7,1,0.34,368
0.03,0.82,10,0.01,4,0.99,0.85,0.27,44,0.03,41,14,7792.6,0.36,2,45.3,22.4,119,1,6,4,0.95,388
0.3,0.76,0,0.01,3,0.69,0.56,0.19,38,0.03,62,12,8157.31,0.37,6,53.7,14.7,36,6,2,2,0.61,361
0.01,0.5,1,0.0,3,0.82,0.54,0.02,5,0.0,41,8,3627.05,0.93,4,43.5,1.5,77,3,6,1,0.51,346
0.01,0.05,9,0.78,4,0.6,0.34,0.31,8,0.02,26,4,2396.28,0.6,6,32.1,23.5,96,4,1,1,0.6,394
0.0,0.51,9,0.01,1,0.6,0.26,0.31,5,0.01,60,2,7913.19,0.34,6,41.4,12.5,41,3,7,4,0.55,361
0.36,0.25,18,0.01,4,0.61,0.55,0.38,58,0.96,25,7,7137.85,0.44,5,21.9,9.0,47,2,6,1,0.78,378
0.01,0.62,10,0.0,3,0.59,0.42,0.22,39,0.0,29,13,12367.13,0.6,2,49.1,22.1,11,7,2,1,0.24,363
0.78,0.13,13,0.01,1,0.94,0.87,0.48,15,0.03,48,8,9728.4,0.53,1,45.0,7.8,111,5,8,2,0.57,418
0.0,0.27,15,0.37,3,0.79,0.81,0.29,21,0.01,61,1,2144.44,0.58,3,65.2,3.2,113,0,8,4,0.77,343
0.01,0.13,1,0.37,2,0.97,0.17,0.18,23,0.02,43,12,3937.22,0.25,2,27.3,15.9,117,9,8,2,0.33,367
0.0,0.5,10,0.37,5,0.59,0.21,0.38,15,0.0,48,7,14182.46,0.48,5,47.6,6.9,55,3,2,4,0.53,349
0.01,0.35,17,0.7,4,0.61,0.54,0.32,53,0.0,18,2,1000.0,0.52,2,10.0,1.1,112,3,7,1,0.59,388
0.0,0.48,9,0.01,7,0.34,0.47,0.25,54,0.01,31,15,5327.33,0.97,1,57.9,4.8,93,3,4,3,0.51,313
0.0,0.39,17,0.86,2,0.71,0.45,0.06,13,0.01,47,9,7822.09,0.63,7,47.2,12.3,64,9,8,4,0.74,357
0.34,0.34,18,0.01,7,0.71,0.43,0.09,9,0.0,54,13,3323.17,0.73,1,25.6,17.3,33,9,5,1,0.97,382
0.03,0.58,3,0.25,7,0.52,0.63,0.15,39,0.0,18,0,2706.52,0.39,7,30.5,13.4,110,3,11,2,0.97,367
0.71,0.51,3,0.42,0,0.32,0.54,0.17,25,0.02,55,3,14806.27,0.69,1,17.9,12.7,18,5,8,3,0.6,372
0.0,0.37,10,0.48,7,0.68,0.54,0.07,13,0.01,41,9,7272.96,0.52,1,44.0,12.5,50,5,6,1,0.61,346
0.99,0.32,16,0.0,3,0.58,0.56,0.29,36,0.01,62,9,5733.54,0.53,3,56.3,0.0,27,5,5,1,0.4,436
0.96,0.48,3,0.01,3,0.61,0.54,0.28,22,0.01,37,5,7878.02,0.52,2,48.1,11.1,82,6,1,5,0.68,363
0.0,0.5,19,0.01,6,0.48,0.3,0.47,5,0.01,60,11,8061.53,0.14,7,34.1,12.1,31,3,9,5,0.6,314
0.67,0.05,14,0.01,3,0.94,0.92,0.04,5,0.02,63,4,10575.01,0.14,2,48.7,11.8,48,3,11,3,0.38,398
0.0,0.8,1,0.57,0,0.98,0.7,0.21,35,0.97,62,9,6378.8,0.52,2,47.2,11.7,38,3,11,2,0.61,342
0.0,0.91,8,0.37,1,0.34,0.17,0.43,17,0.02,41,8,7885.05,0.65,4,48.0,6.8,9,4,7,2,0.93,325
0.02,0.32,12,0.38,0,0.37,0.49,0.27,1,0.94,49,3,3792.94,0.88,2,40.3,20.4,35,3,6,1,0.4,385
0.01,0.79,5,0.01,4,0.6,0.86,0.08,25,0.02,48,15,8110.22,0.28,1,48.2,22.9,41,8,7,1,0.62,351
0.0,0.51,16,0.47,1,0.99,0.27,0.11,49,0.0,27,8,8092.38,0.52,4,65.6,15.4,61,1,11,2,0.76,349
0.57,0.13,6,0.01,3,0.97,0.55,0.2,1,0.01,43,13,10996.22,0.49,7,25.0,2.5,88,8,2,4,0.61,364
0.02,0.87,13,0.0,5,0.27,0.92,0.13,5,0.67,58,8,11899.31,0.9,2,20.9,19.9,109,1,4,1,0.67,367
0.01,0.52,1,0.01,4,0.58,0.22,0.29,5,0.01,28,4,12810.53,0.36,2,45.6,19.2,63,4,4,3,0.65,365
0.99,0.95,11,0.0,7,0.51,0.77,0.48,54,0.43,41,8,4037.13,0.56,7,54.8,20.4,13,5,3,3,0.39,381
0.03,0.47,16,0.0,3,0.19,0.73,0.2,48,0.02,41,16,5392.73,0.6,5,15.4,21.4,90,3,5,1,0.68,399
0.0,0.1,16,0.01,3,0.61,0.55,0.46,37,0.0,41,8,4769.72,0.84,5,47.7,23.6,76,4,1,1,0.36,356
0.0,0.87,11,0.37,2,0.6,0.28,0.36,5,0.03,38,13,6576.31,0.58,2,76.4,10.6,33,8,9,3,0.8,316
0.0,0.51,4,0.01,3,0.31,0.48,0.4,5,0.01,41,6,6606.74,0.5,7,61.2,7.6,88,9,10,5,0.52,326
0.0,0.91,2,0.01,3,0.71,0.72,0.1,5,0.02,61,3,3542.74,0.53,6,72.8,4.6,23,2,0,1,0.68,347
0.01,0.51,7,0.74,2,0.61,0.4,0.28,7,0.0,24,8,10195.4,0.51,1,68.7,16.0,39,7,0,1,1.0,379
0.01,0.67,19,0.01,3,0.25,0.37,0.15,48,0.02,41,11,1274.38,0.3,3,65.9,6.8,41,4,8,3,0.64,348
0.0,0.63,16,0.01,3,0.26,0.78,0.4,5,0.02,41,9,3731.16,0.68,3,31.5,4.2,103,4,6,1,0.23,357
0.0,0.62,2,0.37,4,0.61,0.22,0.38,19,1.0,31,11,8013.69,0.18,6,21.2,8.4,97,0,4,2,0.2,337
0.87,0.08,4,0.37,5,0.88,0.54,0.16,24,0.01,29,13,2528.58,0.28,7,36.8,4.0,78,2,7,3,0.53,422
0.01,0.23,8,0.87,2,0.46,0.55,0.18,5,0.0,37,9,10249.68,0.82,5,73.1,12.8,82,3,6,4,0.34,362
0.66,0.63,13,0.37,4,0.23,0.55,0.03,31,0.0,54,13,8930.88,0.6,5,49.0,21.6,41,6,11,1,0.63,390
0.01,0.27,0,0.62,6,0.31,0.75,0.2,26,0.0,43,2,1188.19,0.63,4,33.8,10.8,46,1,5,4,0.81,359
0.01,0.32,8,0.37,3,0.61,0.56,0.14,44,0.0,36,9,13764.4,0.53,6,47.2,12.2,78,0,7,4,0.89,369
0.02,0.53,6,0.01,3,0.88,0.55,0.29,5,0.02,48,12,1167.84,0.52,6,10.0,1.0,26,0,2,1,0.88,372
0.94,0.06,16,0.01,0,0.59,0.86,0.36,30,0.02,46,7,4387.17,0.95,2,47.2,16.7,58,3,4,1,0.89,418
0.93,0.16,4,0.37,2,0.6,0.31,0.29,46,0.01,23,7,11715.96,0.74,5,46.7,0.8,41,8,8,5,0.63,400
0.47,0.44,2,0.0,3,0.32,0.97,0.1,13,0.01,32,13,14051.18,0.88,6,71.7,14.2,36,6,2,3,0.83,394
0.01,0.19,12,0.83,3,0.83,0.94,0.11,56,0.0,32,13,6393.95,0.54,2,71.3,17.3,96,5,0,1,0.3,388
0.02,0.92,1,0.46,4,0.45,0.34,0.0,17,0.52,34,0,7784.6,0.53,4,47.6,2.6,116,3,0,3,0.94,365
0.0,0.57,15,0.01,1,0.83,0.76,0.48,45,0.03,57,18,7957.86,0.51,5,48.1,22.2,90,4,10,1,0.61,359
0.02,0.17,16,0.0,5,0.6,0.55,0.23,5,0.0,19,2,6171.34,0.76,3,68.8,3.7,57,3,8,1,0.91,385
0.0,0.91,7,0.8,4,0.97,0.24,0.37,5,0.01,41,9,1450.42,0.62,3,47.6,14.9,41,5,2,1,0.6,345
1.0,0.9,7,0.0,3,0.22,0.67,0.32,40,0.01,29,11,8016.76,0.06,2,74.3,14.2,9,1,2,1,0.55,424
0.01,0.51,2,0.01,2,0.36,0.86,0.29,5,0.49,42,2,8046.96,0.02,2,47.0,22.3,79,7,2,5,0.79,366
0.0,0.63,8,0.21,2,0.68,0.27,0.1,32,0.01,43,14,4245.65,0.51,5,34.5,9.7,106,2,3,5,0.78,331
0.55,0.48,17,0.35,6,0.64,0.45,0.27,33,0.0,30,3,8473.38,0.82,6,55.6,12.1,102,8,9,1,0.38,371
0.0,0.95,19,0.0,3,0.54,0.56,0.13,4,0.01,18,2,2730.55,0.53,7,21.4,14.2,9,8,3,4,0.81,340
0.53,0.47,2,0.75,6,0.23,0.56,0.12,47,0.0,20,4,7938.75,0.72,5,48.2,12.9,45,4,7,5,0.68,378
0.64,0.64,11,0.36,3,0.25,0.54,0.42,13,0.0,52,3,9457.25,0.04,4,60.8,12.1,41,6,11,1,0.59,359
0.01,0.14,7,0.0,4,0.51,0.6,0.15,20,0.0,19,3,11393.51,0.28,1,18.0,13.3,10,8,5,2,0.33,352
0.0,0.81,14,0.0,3,0.45,0.58,0.45,17,0.02,54,15,9318.48,0.99,6,60.1,4.7,73,9,11,1,0.62,300
0.0,0.73,0,0.01,6,0.59,0.6,0.01,2,0.75,38,0,4439.65,0.24,5,45.2,21.2,53,8,4,1,0.2,338
0.0,0.78,9,0.0,3,0.6,0.3,0.17,37,0.0,37,19,9212.69,0.51,6,61.8,11.9,85,3,1,1,0.72,309
0.83,0.33,18,0.01,3,0.75,0.54,0.36,36,0.0,55,2,7971.29,0.05,2,33.8,13.4,41,6,2,4,0.74,378
0.02,0.41,16,0.54,5,0.35,0.81,0.35,59,0.01,46,12,4938.25,0.24,2,75.7,11.6,10,3,10,4,0.91,377
0.02,0.5,2,0.01,7,0.6,0.19,0.33,44,0.03,41,17,8128.83,0.51,5,24.1,22.3,55,4,3,5,0.61,369
0.48,0.5,4,0.01,3,0.85,0.41,0.39,53,0.01,63,14,14836.16,0.73,2,66.5,0.5,32,0,2,4,0.72,383
0.0,0.5,6,0.8,3,0.81,0.54,0.28,53,0.0,59,11,1622.83,0.1,1,70.6,12.3,108,9,2,3,0.76,356
0.45,0.21,15,0.0,0,0.93,0.62,0.12,35,0.01,44,9,7959.13,0.4,1,43.8,17.2,54,8,3,5,0.87,396
0.01,0.41,12,0.0,0,0.6,0.42,0.35,5,0.03,53,16,8006.11,0.94,2,39.7,11.4,109,8,7,1,0.61,358
0.0,0.43,16,0.37,7,0.61,0.55,0.31,16,0.0,35,13,10902.56,1.0,2,57.0,12.2,57,6,1,5,0.96,342
0.03,0.63,17,0.68,0,0.76,0.21,0.06,42,0.0,31,8,7933.13,0.26,3,43.0,20.2,115,3,6,4,0.42,403
0.02,0.87,12,0.0,6,0.75,0.7,0.3,32,0.0,56,19,4193.1,0.83,4,59.9,17.6,41,5,2,1,0.82,370
0.0,0.75,1,0.86,3,0.61,0.56,0.32,5,0.01,41,3,14246.11,0.46,4,78.7,16.7,42,3,8,5,0.6,343
0.01,0.44,10,0.0,6,0.44,0.78,0.29,5,0.83,52,13,5108.26,0.55,4,67.0,23.0,37,3,9,5,0.59,356
0.97,0.52,16,0.0,6,0.52,0.55,0.3,34,0.02,36,1,2898.02,0.75,2,26.0,3.7,71,0,8,2,0.61,383
0.0,0.36,16,0.0,3,0.78,0.52,0.23,14,0.65,62,5,7529.81,0.37,7,23.6,3.8,87,4,6,5,0.26,328
0.01,0.53,6,0.01,2,0.9,0.4,0.2,14,0.0,59,8,14329.93,0.02,2,41.5,2.2,113,8,10,1,0.56,347
0.0,0.87,9,0.0,3,0.96,0.34,0.21,10,0.01,33,12,12819.3,0.8,2,30.0,11.7,91,6,8,3,0.92,328
0.0,0.51,16,0.55,1,0.52,0.56,0.48,24,0.02,41,11,12196.9,0.94,2,72.8,7.1,49,0,5,1,0.86,345
0.01,0.49,0,0.43,3,0.82,0.55,0.47,22,0.0,43,8,6175.39,0.41,5,74.5,17.2,113,7,2,5,0.5,358
0.03,0.5,18,0.5,3,0.97,0.16,0.37,34,0.0,54,9,4380.22,0.72,4,54.7,12.2,41,5,10,1,0.21,396
0.02,0.26,14,0.49,2,0.24,0.72,0.28,5,0.0,41,14,3141.96,0.21,1,66.6,4.6,87,9,6,1,0.94,385
0.0,0.35,12,0.01,6,0.71,0.64,0.17,1,0.02,22,6,7763.41,0.11,5,46.9,12.5,39,6,0,5,0.88,361
1.0,0.17,16,0.01,0,0.79,0.9,0.29,56,0.02,46,10,13462.57,0.73,4,75.9,13.7,41,0,8,4,0.59,415
0.02,0.51,13,0.37,0,0.53,0.89,0.24,5,0.02,52,13,7836.9,0.5,4,71.6,9.4,37,3,2,3,0.6,401
0.39,0.18,16,0.37,3,0.79,0.74,0.09,5,0.99,31,15,5651.59,0.37,4,40.0,12.4,80,6,10,1,0.24,405
0.01,0.63,8,0.01,3,0.6,0.21,0.28,5,0.01,41,6,1019.75,0.43,5,43.1,15.4,80,1,0,4,0.76,365
0.0,0.54,16,0.01,3,0.79,0.84,0.28,38,0.0,32,12,13839.8,0.49,5,78.0,21.5,22,3,10,2,0.23,341
0.02,0.47,12,0.01,5,0.33,0.74,0.04,5,0.0,58,6,5385.52,0.51,1,17.5,22.2,41,1,11,3,0.84,360
0.59,0.85,9,0.37,2,0.6,0.23,0.09,35,0.0,33,8,8500.39,0.23,5,22.5,11.7,41,4,2,1,0.78,389
0.02,0.68,16,0.37,4,0.69,0.67,0.25,35,0.01,59,9,8023.91,0.02,7,36.0,17.0,93,8,0,1,0.45,395
0.02,0.47,0,0.37,0,0.91,0.3,0.08,37,0.01,33,1,11484.44,0.28,7,74.3,21.0,52,6,3,2,0.42,378
0.37,0.17,7,0.01,7,0.41,0.69,0.02,5,0.42,38,14,5189.69,0.07,2,52.2,4.8,64,3,2,5,0.76,402
0.0,0.72,16,0.37,6,0.91,0.55,0.12,5,0.82,60,3,2797.06,0.76,2,24.6,5.9,67,4,2,1,0.73,354
0.36,0.23,16,0.0,5,0.76,0.68,0.38,14,0.01,49,17,9499.25,0.74,4,48.5,16.8,48,6,6,1,0.45,404
0.92,0.5,8,0.0,3,0.74,0.46,0.19,47,0.66,42,5,12300.14,0.95,3,15.8,15.3,25,5,4,4,0.9,395
0.02,0.75,6,0.0,7,0.46,0.48,0.12,30,0.0,45,14,8521.86,0.16,3,47.4,12.6,70,3,2,2,0.29,391
0.0,0.56,4,0.43,3,0.82,0.62,0.49,5,0.91,42,9,1264.61,0.52,4,30.6,13.1,119,9,4,3,0.59,353
0.93,0.51,14,0.0,6,0.71,0.72,0.28,24,0.0,41,7,2229.33,0.86,7,46.3,16.0,42,8,0,3,0.33,428
0.01,0.36,6,0.01,2,0.31,0.37,0.06,49,0.0,60,12,8237.91,0.51,7,15.0,23.4,100,9,4,1,0.96,366
0.0,0.52,7,0.44,2,0.26,0.54,0.11,31,0.63,27,11,14664.58,0.51,4,20.7,13.6,41,5,1,2,0.92,357
0.84,0.07,2,0.01,6,0.66,0.47,0.24,44,0.02,22,4,7988.29,0.68,1,65.6,21.1,41,7,2,5,0.88,382
0.01,0.22,13,0.01,5,0.81,1.0,0.39,2,0.0,54,15,11848.96,0.53,2,46.7,12.3,85,8,0,1,0.78,371
0.0,0.75,12,0.01,0,0.6,0.8,0.22,5,0.02,55,4,6922.26,0.52,1,31.5,12.3,97,5,2,4,0.88,371
0.02,0.68,7,0.52,6,0.22,0.67,0.38,13,0.0,26,9,10546.19,0.52,3,49.0,12.7,52,1,2,3,0.53,364
0.0,0.07,5,0.74,4,0.6,0.55,0.21,28,0.01,26,9,7545.3,0.5,6,49.0,3.2,11,9,7,4,0.61,352
0.01,0.51,0,0.0,3,0.36,0.54,0.36,44,0.01,24,7,7788.9,0.51,2,58.2,14.7,69,3,2,2,0.55,352
0.03,0.57,6,0.58,7,0.33,0.6,0.03,15,0.68,40,6,14149.28,0.61,3,47.9,15.5,90,0,10,1,0.59,387
0.03,0.51,16,0.01,1,0.74,0.63,0.37,25,0.01,50,9,2296.77,0.55,1,63.1,19.1,115,3,5,5,0.79,404
0.63,0.23,2,0.0,3,0.98,0.55,0.44,18,0.01,27,11,13610.24,0.26,6,28.4,10.1,106,3,3,2,0.35,397
0.01,0.38,18,0.0,4,0.4,0.23,0.31,47,0.01,28,12,5308.84,0.13,4,78.9,14.8,19,5,2,3,0.66,375
0.01,0.64,11,0.0,1,0.72,0.18,0.36,36,0.01,33,17,10830.66,0.53,3,71.0,11.8,83,5,10,3,0.58,353
0.01,0.85,16,0.01,5,0.6,0.56,0.12,32,0.0,41,9,8024.83,0.12,2,48.6,15.2,88,0,2,2,0.95,374
0.0,0.74,5,0.0,3,0.57,0.75,0.42,53,0.03,21,5,6893.58,0.69,6,33.3,5.5,106,5,3,2,0.85,327
0.73,0.11,14,0.5,3,0.34,0.56,0.32,58,0.63,41,7,13329.82,0.93,2,52.6,7.4,41,1,7,4,0.41,387
0.0,0.95,8,0.39,6,0.4,0.6,0.42,7,0.0,59,9,2400.59,0.53,2,19.9,9.4,15,0,8,2,0.95,305
0.0,0.5,9,0.01,3,0.27,0.87,0.42,33,0.0,64,17,6896.78,0.48,3,48.2,17.3,117,5,2,4,0.53,371
0.02,0.57,17,0.0,2,0.6,0.77,0.05,29,0.01,21,5,2136.06,0.9,2,77.6,5.2,46,8,6,4,0.47,364
0.01,0.33,4,0.37,7,0.5,0.61,0.05,54,0.02,19,3,7057.01,0.84,2,47.6,17.6,85,8,2,4,0.4,343
0.03,0.43,17,0.37,3,0.6,0.57,0.18,15,0.02,41,9,7991.53,0.51,3,68.7,21.2,116,6,2,1,0.41,406
0.0,0.81,12,0.37,7,0.57,0.76,0.28,41,0.01,40,12,10545.24,0.21,1,56.7,17.4,8,4,7,1,0.44,325
0.0,0.51,1,0.0,7,0.79,0.16,0.46,37,0.0,29,9,1728.4,0.64,5,47.4,4.4,88,1,6,1,0.42,311
0.01,0.52,19,0.86,1,0.39,0.43,0.27,52,0.0,41,9,7572.04,0.11,2,52.4,5.2,20,7,5,5,0.62,381
0.01,0.72,4,0.01,6,0.75,0.37,0.38,5,0.68,29,11,7005.46,0.5,3,43.5,23.5,101,0,0,3,0.25,381
0.84,0.5,6,0.01,1,0.4,0.46,0.11,40,0.03,59,8,2456.66,0.06,1,46.0,22.5,31,5,2,1,0.59,431
0.81,0.26,16,0.01,4,0.36,0.16,0.36,5,0.01,41,9,11103.5,0.14,6,21.9,12.5,61,4,5,4,0.31,387
0.81,0.44,7,0.24,1,0.6,0.47,0.26,28,0.0,60,8,3476.74,0.5,5,79.3,20.7,41,8,1,5,0.37,420
0.01,0.12,4,0.0,5,0.43,0.24,0.07,41,0.0,59,18,11251.91,0.14,6,27.7,13.5,41,2,3,1,0.59,366
0.01,0.51,9,0.01,0,0.27,0.57,0.09,33,0.0,56,9,8786.38,0.25,2,36.7,12.4,21,6,2,3,0.66,363
0.02,0.91,2,0.01,3,0.42,0.54,0.29,5,0.9,43,3,7768.32,0.64,2,14.5,6.6,47,7,2,4,0.42,366
0.79,0.78,12,0.37,1,0.9,0.87,0.43,3,0.01,18,2,7554.69,0.51,4,61.9,5.0,69,7,3,3,0.64,402
0.0,0.32,16,0.01,6,0.6,0.58,0.14,44,0.0,55,0,12476.67,0.67,2,56.7,10.3,70,3,1,1,0.3,332
0.67,0.52,3,0.37,0,0.97,0.48,0.41,54,0.65,35,18,9036.23,0.73,1,48.0,19.0,28,0,11,4,0.6,410
